,Weight,Element,Molecule,BasisSet,Spin,BuiltMolecule,bond_lenght,CCSDT,DFT-b3lyp,DFT-SCAN,DFT-wB97X-V,DFT-pbe,DFT-M06-2X,DFT-PW6B95,NN-Functional.DM21,NN-Functional.DM21m,NN-Functional.DM21mc,NN-Functional.DM21mu
20,1,H,"[['H', (0, 0, 0.625)], ['H', (0, 0, -0.625)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.25,-1.098563104062202,-1.0999504166513367,-1.097987204458335,-1.1063867275311865,-1.0975539597706887,-1.0916599354824918,-1.0995981524994347,-1.1010415748926006,-1.0989518442087887,-1.1006428858788033,-1.0995677975637541
21,1,H,"[['H', (0, 0, 0.65)], ['H', (0, 0, -0.65)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.3,-1.090493856693179,-1.0911388594133467,-1.0891199403362344,-1.0970989068499613,-1.0891348130898852,-1.0823636341207887,-1.0906214657097304,-1.09278416516779,-1.0897111889318865,-1.0915144710773124,-1.0906993381662518
22,1,H,"[['H', (0, 0, 0.675)], ['H', (0, 0, -0.675)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.35,-1.0827132043900713,-1.082470206919643,-1.0804051687065819,-1.0879174667429563,-1.080856539369539,-1.0732016193619747,-1.0817935567049686,-1.084735391424807,-1.0805434627641932,-1.082529286106527,-1.0819796446341146
23,1,H,"[['H', (0, 0, 0.7000000000000001)], ['H', (0, 0, -0.7000000000000001)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.4000000000000001,-1.075270532228484,-1.0739873795071195,-1.0718854996464027,-1.0788853028101009,-1.0727624685353003,-1.0642243285223252,-1.0731565298015993,-1.076896138059404,-1.0715150787575687,-1.073719520607663,-1.073458849610943
24,1,H,"[['H', (0, 0, 0.725)], ['H', (0, 0, -0.725)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.45,-1.0682023949155697,-1.065721874989352,-1.0635922922327241,-1.070034066750885,-1.0648844727310416,-1.0554712130090276,-1.0647410698148043,-1.0692268352036352,-1.0627013830939531,-1.0651076495773784,-1.0651844265336714
25,1,H,"[['H', (0, 0, 0.75)], ['H', (0, 0, -0.75)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.5,-1.061534945343149,-1.0576964522569443,-1.0555482927581366,-1.0613869022674587,-1.0572456381065152,-1.046969041967436,-1.0565692327558738,-1.0616929728515943,-1.0541863397406206,-1.0567056310636342,-1.0571644485227005
26,1,H,"[['H', (0, 0, 0.775)], ['H', (0, 0, -0.775)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.55,-1.0552856447494878,-1.0499271746252692,-1.0477696229839515,-1.0529605103022839,-1.0498622897868024,-1.0387323805512296,-1.048656513734246,-1.0543050049866554,-1.0459933830317591,-1.048527352196978,-1.0494158030609995
27,1,H,"[['H', (0, 0, 0.8)], ['H', (0, 0, -0.8)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.6,-1.0494644012961996,-1.042424894188489,-1.0402672099037025,-1.0447666527389015,-1.0427454595475327,-1.0307673579771455,-1.0410132285648708,-1.0470973670895136,-1.0381227676719438,-1.0405802763852685,-1.0419492507723975
28,1,H,"[['H', (0, 0, 0.8250000000000001)], ['H', (0, 0, -0.8250000000000001)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.6500000000000001,-1.0440746099484888,-1.0351963553461556,-1.033047840762938,-1.0368132462829742,-1.0359019784635275,-1.023074195247782,-1.0336456495369326,-1.0401151565617501,-1.0305681002497602,-1.03286452382639,-1.0347632064627212
29,1,H,"[['H', (0, 0, 0.85)], ['H', (0, 0, -0.85)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.7,-1.0391133444778191,-1.028245003287557,-1.0261149364724957,-1.0291051390752854,-1.0293352841650258,-1.0156500396587114,-1.0265569052082482,-1.0333822362131215,-1.0233188547514005,-1.0253939770643963,-1.0278613274106818
30,1,H,"[['H', (0, 0, 0.875)], ['H', (0, 0, -0.875)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.75,-1.034572414662237,-1.0215716010441311,-1.0194691658819377,-1.021644678451218,-1.0230460553927252,-1.0084916008429887,-1.0197475184832423,-1.026909776805964,-1.0163616340098391,-1.018177117695778,-1.0212375552815403
31,1,H,"[['H', (0, 0, 0.9)], ['H', (0, 0, -0.9)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.8,-1.0304388206471735,-1.015174739644229,-1.013108961698638,-1.014432148402511,-1.017032744881273,-1.0015947983477713,-1.013215815567098,-1.0207033471296842,-1.0097052076833948,-1.0112219667652265,-1.0148772938639845
32,1,H,"[['H', (0, 0, 0.925)], ['H', (0, 0, -0.925)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.85,-1.0266955197845355,-1.0090512317531606,-1.0070309146814624,-1.007466103341824,-1.0112919900312685,-0.994955862940447,-1.006958402328324,-1.014808527350291,-1.0033464623912027,-1.0045326713627114,-1.0087737596977293
33,1,H,"[['H', (0, 0, 0.9500000000000001)], ['H', (0, 0, -0.9500000000000001)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.9000000000000001,-1.0233222862917681,-1.0031964182614914,-1.0012300824945701,-1.0007436399099012,-1.005818930302613,-0.9885757377284936,-1.0009705291404638,-1.0092425994446426,-0.9972836855739879,-0.9981085714031872,-1.0029253933723095
34,1,H,"[['H', (0, 0, 0.975)], ['H', (0, 0, -0.975)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",1.95,-1.0202977751185431,-0.9976044232580212,-0.9957002580753072,-0.9942606301901764,-1.0006074704773276,-0.9824543864504414,-0.9952462346086712,-1.0040011188977391,-0.9914997074569114,-0.9919515209259611,-0.9973234704000697
35,1,H,"[['H', (0, 0, 1.0)], ['H', (0, 0, -1.0)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.0,-1.017594115252629,-0.99226840372648,-0.9904342484967485,-0.9880119542412582,-0.995650542473473,-0.976577859956022,-0.9897785518970599,-0.9990845287720498,-0.9859773953811197,-0.9860478576016622,-0.9919450278838364
36,1,H,"[['H', (0, 0, 1.0250000000000001)], ['H', (0, 0, -1.0250000000000001)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.0500000000000003,-1.0151901163389438,-0.9871808043122672,-0.9854241503677954,-0.9819917572385011,-0.9909403693293444,-0.9709312721129575,-0.9845598465434391,-0.9944997008761172,-0.980705266079271,-0.9803860230628458,-0.9867936549208165
37,1,H,"[['H', (0, 0, 1.05)], ['H', (0, 0, -1.05)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.1,-1.0130594590828743,-0.982333564706457,-0.9806615629689228,-0.9761936806494578,-0.9864686775251879,-0.9655248650794761,-0.9795820358087457,-0.9902562106423296,-0.9756815565734045,-0.9749649087885008,-0.9818657639666997
38,1,H,"[['H', (0, 0, 1.0750000000000002)], ['H', (0, 0, -1.0750000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.1500000000000004,-1.0111774672033647,-0.9777182852371775,-0.976137763442603,-0.9706110136519555,-0.9822268668004688,-0.9603713998836176,-0.9748366903224555,-0.9863512189399568,-0.9708839305837385,-0.9697718776951345,-0.977150750988621
39,1,H,"[['H', (0, 0, 1.1)], ['H', (0, 0, -1.1)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.2,-1.0095202900370812,-0.9733263832290098,-0.9718438700640737,-0.9652368060315533,-0.978206166535559,-0.9554434068343212,-0.9703152065796963,-0.9827947361070462,-0.966304863532556,-0.9647924131266665,-0.9726490848775637
40,1,H,"[['H', (0, 0, 1.1250000000000002)], ['H', (0, 0, -1.1250000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.2500000000000004,-1.008065224639986,-0.9691492133978714,-0.9677709585972398,-0.9600640210627409,-0.9743977526993921,-0.9507011198731197,-0.9660089236964706,-0.9795642466947876,-0.9619356989141772,-0.9600185824601188,-0.9683511186595217
41,1,H,"[['H', (0, 0, 1.1500000000000001)], ['H', (0, 0, -1.1500000000000001)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.3000000000000003,-1.0067909419463417,-0.9651781408671736,-0.9639101339103469,-0.9550856903118152,-0.9707928189941315,-0.9461518081299063,-0.9619092186135494,-0.976078327474267,-0.9577687881540793,-0.9554379855991602,-0.9642434615688618
42,1,H,"[['H', (0, 0, 1.175)], ['H', (0, 0, -1.175)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.35,-1.0056776293602172,-0.9614046072634389,-0.9602525964162577,-0.9502949474458405,-0.9673826397020345,-0.9418258875596252,-0.9580075376343796,-0.8471871160729464,-0.9537958631892237,-0.9510359647981922,-0.9603224876410811
43,1,H,"[['H', (0, 0, 1.2000000000000002)], ['H', (0, 0, -1.2000000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.4000000000000004,-1.00470706268263,-0.957820195314098,-0.956789697059956,-0.9456849680585727,-0.9641586272308061,-0.9377112082480766,-0.9542955006582338,-0.8521544650602654,-0.9500127281226626,-0.946807092372277,-0.9565858273595794
44,1,H,"[['H', (0, 0, 1.225)], ['H', (0, 0, -1.225)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.45,-1.0038626210818777,-0.9544166608180206,-0.9535129585115613,-0.9412489967831456,-0.9611123601316439,-0.9337636773414547,-0.9507649305212952,-0.8572243843344148,-0.9464045523709458,-0.9427447567800963,-0.9530221393099553
45,1,H,"[['H', (0, 0, 1.2500000000000002)], ['H', (0, 0, -1.2500000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.5000000000000004,-1.00312925187632,-0.9511859394150566,-0.9504140839785407,-0.936980503521857,-0.9582355934008526,-0.9299681056575408,-0.9474077913106911,-0.9583508839559678,-0.9429697210551149,-0.9388443810932816,-0.9496195931835689
46,1,H,"[['H', (0, 0, 1.2750000000000001)], ['H', (0, 0, -1.2750000000000001)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.5500000000000003,-1.0024934272707051,-0.9481201648814014,-0.9474849799995911,-0.9328732668101544,-0.9555202797384245,-0.9263411387513526,-0.9442162883256685,-0.867628971907776,-0.9396976684814479,-0.9350948394104258,-0.9463816768910379
47,1,H,"[['H', (0, 0, 1.3000000000000003)], ['H', (0, 0, -1.3000000000000003)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.6000000000000005,-1.001943031222282,-0.9452117001893952,-0.9447177783282441,-0.9289212550165298,-0.9529585949310178,-0.9228844811043089,-0.9411828264764852,-0.9559327827938102,-0.936580603394394,-0.9314890277120711,-0.9432974889486376
48,1,H,"[['H', (0, 0, 1.3250000000000002)], ['H', (0, 0, -1.3250000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.6500000000000004,-1.0014672789563586,-0.9424531528444204,-0.9421048383805906,-0.9251184937021117,-0.9505429468923143,-0.9195805484695976,-0.9383000978388836,-0.954859098422076,-0.9336097400807408,-0.9280208117482693,-0.9403626472292201
49,1,H,"[['H', (0, 0, 1.35)], ['H', (0, 0, -1.35)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.7,-1.0010566048835072,-0.9398373700293499,-0.9396387422644934,-0.9214591220121895,-0.9482659734838239,-0.9164149236488799,-0.9355610582114653,-0.9538538551461371,-0.9307816801966964,-0.9246876389457528,-0.9375639281273913
50,1,H,"[['H', (0, 0, 1.3750000000000002)], ['H', (0, 0, -1.3750000000000002)]]",cc-pVDZ,0,"{'H': [[0, [13.01, 0.019685, 0.0], [1.962, 0.137977, 0.0], [0.4446, 0.478148, 0.0], [0.122, 0.50124, 1.0]], [1, [0.727, 1.0]]]}",2.7500000000000004,-1.0007025545589976,-0.9373574382910714,-0.937312305576691,-0.917937582643725,-0.9461205522842098,-0.9133852020832631,-0.9329588442076981,-0.8834422709220848,-0.9280910790479229,-0.9214839353845121,-0.9348957012255512
